CALLID,transcript,ner_person,ner_location,ner_time,manual_person,manual_location,manual_time
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_005290_007065,hello?,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_007110_008824,hello? can you hear me well?,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_008920_012175,yes. hi. hi. I can hear you. how are you?,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_012440_021875,hi. I'm fine. I just wanted to tell you sorry because I was planning to to call you little bit earlier. but I've got some troubles with new telephone.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_022140_023935,yeah. no problem. no problem.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_023040_023985,anyway.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_024700_030335,now seems seems solved. so I was just thinking that .,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_030890_039385,if everything went yesterday well. and you sold all the all our stuff all the cookies was really sweet evening.,[],[],['yesterday'],[],[],['yesterday']
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_039420_048187,yeah. it was. actually it was better than expected. it was. we was. we sold everything. the party was a complete blast. people were high as kites.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_048659_051655,and and we sold everything in no time at all.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_051913_060395,and actually we also got feedback from some of the people that this stuff that we're using now is much better than what they had seen in the past.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_060950_061685,so.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_061150_062473,yeah.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_062190_065395,I think we have a good chance of getting some new customers there.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_065616_068355,amazing. amazing. yeah.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_067080_073470,yeah. yeah that's that's that's pretty cool. the question now of course will be now that everybody knows it . a word is spreading.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_073561_076915,and people're starting to ask around and they're starting to ask for more.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_077215_082359,so. question is soon gonna come up when can we deliver more and you know.,[],[],[],[],[],[]
