CALLID,adaptedasr_trans,adapted_person,adapted_location,adapted_time,transcript,ner_person,ner_location,ner_time
cs01M-RE00bcf8e1f2c6d1c6573f18ade20ec956_A_000770_007439,"hi i'm in <unk> we had coffee arranged everything can go to prague in about half an hour 
",[],[],['about half an hour'],hi. i'm in brno. we had coffee. arranged everything and we will go to prague in about half an hour.,[],"['brno', 'prague']",['half an hour']
cs01M-RE00bcf8e1f2c6d1c6573f18ade20ec956_A_015878_020598,"i don't know if i make it i'll call when i'm in prague and we will see 
",[],['prague'],[],i do not know if i make it. i'll call when i'm in prague and we will see.,[],['prague'],[]
cs01M-RE0f4543b94c7a5953871ac37cbc47a25f_B_000637_001911,"hi 
",[],[],[],hi.,[],[],[]
cs01M-RE0f4543b94c7a5953871ac37cbc47a25f_B_004551_009294,"sorry look i'm out now <unk> will call you and make it 
",[],[],[],sorry. look i'm out now. jakub will call you and make it.,['jakub'],[],[]
cs01M-RE17b84c6cb32b4392ba3096982d24fbba_B_000403_001602,"so what 
",[],[],[],so what?,[],[],[]
cs01M-RE17b84c6cb32b4392ba3096982d24fbba_B_010788_018229,"what about the bus from <unk> it just left go ask 
",[],[],[],what about the bus from moldova? it just left? go. ask.,[],['moldova'],[]
cs01M-RE18beae7b701cfe83ae82d0b960fc1dd6_B_001226_002156,"hi 
",[],[],[],hi.,[],[],[]
cs01M-RE18beae7b701cfe83ae82d0b960fc1dd6_B_005021_006290,"<unk> 
",[],[],[],i'm on česká.,[],['česká'],[]
cs01M-RE18beae7b701cfe83ae82d0b960fc1dd6_B_011322_013679,"okay i can be there in ten minutes 
",[],[],['ten minutes'],okay. i can be there in ten minutes.,[],[],['in ten minutes']
cs01M-RE211138ec80bf5cd6f581f5eee65f6895_B_001510_002507,"so what's in there 
",[],[],[],so what's in there?,[],[],[]
cs01M-RE211138ec80bf5cd6f581f5eee65f6895_B_005100_005697,"lila 
",[],[],[],lila.,['lila'],[],[]
cs01M-RE214384540e45c0d0c7015c0aedd8c3ef_B_002233_003290,"hi 
",[],[],[],hi.,[],[],[]
cs01M-RE214384540e45c0d0c7015c0aedd8c3ef_B_010608_014237,"fuck you dude we agreed what are you playing on me 
",[],[],[],fuck you dude. we agreed. what are you what are you playing on me?,[],[],[]
cs01M-RE214384540e45c0d0c7015c0aedd8c3ef_B_017229_019342,"not at this price you screwed up 
",[],[],[],not at this price. you screwed up.,[],[],[]
cs01M-RE214384540e45c0d0c7015c0aedd8c3ef_B_022433_026588,"make it i'll take it but i want to try it at first 
",[],[],[],wait wait. i'll take it. but i want to try it at first.,[],[],[]
cs01M-RE214384540e45c0d0c7015c0aedd8c3ef_B_031427_033062,"okay 
",[],[],[],okay .,[],[],[]
cs01M-RE39bb514341e2cb86d79c07a177bbc0bf_B_000192_001250,"yeah 
",[],[],[],yes?,[],[],[]
cs01M-RE39bb514341e2cb86d79c07a177bbc0bf_B_003130_008447,"to the <unk> to sell some goods i hope the papers will be there 
",[],[],[],no. i'm to the strážní to sell some goods. i hope the papers will be there.,[],['strážní'],[]
cs01M-RE39bb514341e2cb86d79c07a177bbc0bf_B_011438_012015,"okay 
",[],[],[],,[],[],[]
cs01M-RE4971679ba55a28460b19a5635505f241_B_000744_001550,"yeah 
",[],[],[],yes?,[],[],[]
cs01M-RE4971679ba55a28460b19a5635505f241_B_006555_007254,"okay 
",[],[],[],okay.,[],[],[]
cs01M-RE498ea142fcadaa1de7c50f672b328fa0_B_000437_001277,"hi 
",[],[],[],hi.,[],[],[]
cs01M-RE498ea142fcadaa1de7c50f672b328fa0_B_003192_009486,"yeah it's fine do know if it's possible to send a package by bus 
",[],[],[],yeah it's fine. do you know if it‘s possible to send a package by bus?,[],[],[]
cs01M-RE498ea142fcadaa1de7c50f672b328fa0_B_011347_013901,"i want to send it from <unk> to prague 
",[],['prague'],[],i want to send it from brno to prague.,[],"['brno', 'prague']",[]
cs01M-RE498ea142fcadaa1de7c50f672b328fa0_B_018125_022221,"great thanks did you want something 
",[],[],[],great thanks. did you want something?,[],[],[]
cs01M-RE498ea142fcadaa1de7c50f672b328fa0_B_025833_028022,"yeah might not call 
",[],[],[],why not. call.,[],[],[]
cs01M-RE54260404ef626cec2d882859a4a930db_A_000700_002687,"come to me 
",[],[],[],will you come to me?,[],[],[]
cs01M-RE54260404ef626cec2d882859a4a930db_A_005195_014660,"okay call the guy from school from the kitchen <unk> and tell him we need fifty to hundred in a week 
",[],[],[],okay. call the guy from school from the kitchen kuki and tell him we need fifty to hundred in a week.,['kuki'],[],[]
cs01M-RE54260404ef626cec2d882859a4a930db_A_017258_018416,"thanks bye 
",[],[],[],thanks. bye.,[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_001734_002602,"hi 
",[],[],[],hi.,[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_003989_010389,"i'm already in <unk> i <unk> finished school at as usual at fourteen fifteen 
",[],[],[],i'm already in hrouda. i finished school at as usual at fourteen fifteen.,[],['hrouda'],['fourteen fifteen']
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_018079_020450,"i'm going from <unk> for money 
",[],[],[],i'm going from dukla for money.,[],['dukla'],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_022474_055530,"i filled out a questionnaire with him an application he's already sent it he'll receive a statement on the result tomorrow and if he does i'll meet him give him a card he'll then go back to school and give me the money but i have to find out if he has an account the taxes and other things he can use the information i gave him but he also needs to have my card 
",[],[],['tomorrow'],i filled out a questionnaire with him. an application. he's already sent it. he'll receive a statement on the result tomorrow and if he does i'll meet him. give him a card. he'll then go back to school and give me the money. but i have to find out if he has an account. the taxes and other things. he can use the information i gave him but he also needs to have my card.,[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_059211_072164,"it sucks me so it's all one hundred percent if he receives the confirmation tomorrow it is realistic that we will receive money hundred percent 
",[],[],['tomorrow'],it sucks me so it's all one hundred percent. if he receives the confirmation tomorrow it is realistic that we will receive money hundred percent.,[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_077011_085618,"i hope that everything will be normal it is an eighteen year old czech girl and the dick is trustworthy 
",[],[],['eighteen year old'],i hope that everything will be normal. it is an eighteen year old czech girl and the dick is trustworthy.,['dick'],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_088740_096855,"what are we going to do now felix is in florence in an hour and i will see 
",['felix'],['florence'],[],what are we going to do now? felix is in florence in an hour. around half past three.,['felix'],['florence'],['half past three']
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_102560_105008,"well i can do it in two hours 
",[],[],['two hours'],well i can do it in two hours.,[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_107032_110733,"i'll try it as soon as possible 
",[],[],[],i'll try it as soon as possible.,[],[],[]
cs01M-RE6202b57bb1bfc98665407848d8166fc1_B_000769_001707,"hi 
",[],[],[],hi.,[],[],[]
cs01M-RE6202b57bb1bfc98665407848d8166fc1_B_013848_033767,"i worked until half past one at night i took felix so i have to sell everything else i just smoke gram or two i have to sell it or i'm fucked but now i really don't know what to do i'll probably go home 
",[],[],['half past one'],i worked until half past one at night. i took felix i have to sell everything else. i just smoke gram or two . i have to sell it or i'm fucked. but now i really don't know what to do. i'll probably go home.,['felix'],[],[]
cs01M-RE6202b57bb1bfc98665407848d8166fc1_B_037654_038711,"so see you 
",[],[],[],so see you.,[],[],[]
cs01M-RE69c74fb9887454f3c70d39e139b18551_B_000873_001402,"yeah 
",[],[],[],yeah?,[],[],[]
cs01M-RE69c74fb9887454f3c70d39e139b18551_B_003462_004544,"i understand 
",[],[],[],i understand.,[],[],[]
cs01M-RE69c74fb9887454f3c70d39e139b18551_B_008727_009649,"okay 
",[],[],[],proably not.,[],[],[]
cs01M-RE6ffcbfc3ae55fb994b84e672ff4b512f_B_001022_002726,"yeah 
",[],[],[],yeah?,[],[],[]
cs01M-RE6ffcbfc3ae55fb994b84e672ff4b512f_B_004917_007887,"i mean the center in the moment 
",[],[],[],i'm in a center in the moment.,[],[],[]
cs01M-RE6ffcbfc3ae55fb994b84e672ff4b512f_B_011733_014232,"i don't have time for it 
",[],[],[],i don't have time for it.,[],[],[]
cs01M-RE6ffcbfc3ae55fb994b84e672ff4b512f_B_017315_019734,"let's leave it for another day 
",[],[],[],let's leave it for another day.,[],[],[]
cs01M-RE6ffcbfc3ae55fb994b84e672ff4b512f_B_023921_026095,"no sorry i'll call 
",[],[],[],no! sorry. i'll call.,[],[],[]
cs01M-RE8a55961ed320886b49971d94c213cb06_B_000669_014429,"hi i'm at the <unk> railway station and i'm wa for the driver he went there to give a few pieces to one guy so i wait when then we go to money 
",[],[],[],hi. i'm at the hostivař railway station and i'm for the driver. he went there to give a few pieces to one guy. so i wait when then we go to maniny.,[],"['hostivař railway station', 'maniny']",[]
cs01M-RE8a55961ed320886b49971d94c213cb06_B_031768_033638,"i'll see and call 
",[],[],[],i'll see and call.,[],[],[]
cs01M-RE90eb1150a74a11df2aca7019f87df6c8_A_001253_014144,"hi i will write to felix and meet him i'll take four and sell them tonight i will come to see you i can be there at two or three fifteen 
",['felix'],[],"['tonight', 'three fifteen']",hi. i will write to felix and meet him. i'll take four and sell them tonight. i will come to see you. i can be there at two or three fifteen.,['felix'],[],"['tonight', 'two or three fifteen']"
cs01M-RE90eb1150a74a11df2aca7019f87df6c8_A_022798_024827,"okay okay 
",[],[],[],okey-dokey.,[],[],[]
cs01M-RE90eb1150a74a11df2aca7019f87df6c8_A_029641_031134,"fine see you 
",[],[],[],fine. see you.,[],[],[]
cs01M-REbb7953e4e46737c1c46fa9bde97c2c47_A_001643_002642,"how are you 
",[],[],[],where are you?,[],[],[]
cs01M-REbb7953e4e46737c1c46fa9bde97c2c47_A_006147_009135,"but this to work going 
",[],[],[],what? we have to work. where are you going?,[],[],[]
cs01M-REbb7953e4e46737c1c46fa9bde97c2c47_A_016236_016937,"okay 
",[],[],[],okay.,[],[],[]
cs01M-REc38a70912e6f3f242aa7a6778a471a4d_A_002167_004925,"hello so how's life and i think 
",[],[],[],hello. so how's life? well-being?,[],[],[]
cs01M-REc38a70912e6f3f242aa7a6778a471a4d_A_008233_013115,"yeah hey i need another one but more this time would it be double 
",[],[],[],yeah. hey i need another one but more this time. would it be double?,[],[],[]
cs01M-REc38a70912e6f3f242aa7a6778a471a4d_A_017086_020456,"that's too much ten percent i take more this time 
",[],[],[],that's too much ten percent. i take more this time.,[],[],[]
cs01M-REc38a70912e6f3f242aa7a6778a471a4d_A_025793_026940,"deal 
",[],[],[],deal.,[],[],[]
cs01M-REd7a05e52911355d387ffc2e40f7ee4a7_B_000400_001240,"yeah 
",[],[],[],yeah?,[],[],[]
cs01M-REd7a05e52911355d387ffc2e40f7ee4a7_B_007291_015321,"take take the bag go and be be on the spot 
",[],[],[],take take the bag. go and be be on the spot.,[],[],[]
cs01M-REd7a05e52911355d387ffc2e40f7ee4a7_B_017000_019180,"be in the place and go to him 
",[],[],[],be in the place and go to him.,[],[],[]
cs01M-REf1097d1ff654a560b387e94ff5bc361f_B_001005_002251,"hi 
",[],[],[],hi.,[],[],[]
cs01M-REf1097d1ff654a560b387e94ff5bc361f_B_004704_018417,"how are you going to work tomorrow ivan goes from five they put him on the ground floor at the cash register there is no camera so he can to do speed there 
",['ivan'],[],['tomorrow'],are you going to work tomorrow? ivan goes from five. they put him on the ground floor at the cash register. there is no camera so he can to do speed there.,['ivan'],[],[]
cs01M-REf1097d1ff654a560b387e94ff5bc361f_B_024609_032893,"<unk> but inside because i don't want to stand out a dick 
",[],[],[],hlavák but inside because i don't want to stand out a dick.,[],['hlavák'],[]
cs01M-REf1097d1ff654a560b387e94ff5bc361f_B_033536_038362,"i don't want to to meet the junkie there 
",[],[],[],i don't want to to meet a junkie there.,[],[],[]
cs01M-REf1097d1ff654a560b387e94ff5bc361f_B_040976_044032,"at the box office 
",[],[],[],leave it at the box office.,[],[],[]
cs01M-REf1097d1ff654a560b387e94ff5bc361f_B_047932_060921,"i wanted to walk but ok so i'll take the tram hey leave me a lighter and paper there i have nothing with me i gave you the bag so leave it in it 
",[],[],[],i wanted to walk but ok. so i'll take the tram. hey! leave me a lighter and paper there. i have nothing with me. i gave you the bag so leave it in it.,[],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_001040_001835,"hello 
",[],[],[],hello hello.,[],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_005640_007095,"so 
",[],[],[],ciao ciao adam.,['adam'],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_010140_016405,"no truly i'm sorry i'm sorry i like just real quick and we can call later 
",[],[],[],no truly i'm sorry i'm sorry i like just real quick and we can call later.,[],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_021400_021925,"
",[],[],[],yeah.,[],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_039680_041005,"okay okay 
",[],[],[],okay okay.,[],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_063860_070495,"can you adam can can you call each other about this at eleven o'clock it seems twenty six minutes 
",[],[],"[""eleven o'clock"", 'twenty six minutes']",can you adam can can you call each other about this at eleven o'clock it is in just twenty six minutes.,['adam'],[],"[""eleven o'clock""]"
cs04M-RE068550324df901cab7e942752daf6a64_B_071320_076895,"because i yeah i'm expecting important call right now yeah yeah some someone is calling me 
",[],[],[],because i yeah i'm expecting important call right now yeah yeah some someone is calling me.,[],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_077630_081065,"and yeah let's speak about it at eleven 
",[],[],['eleven'],and yeah let's speak about it at eleven.,[],[],['at eleven']
cs04M-RE068550324df901cab7e942752daf6a64_B_081820_084295,"okay thank you very much ciao ciao ciao 
",[],[],[],yeah okay thank you very much ciao ciao,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_001090_002315,"this is <unk> speaking 
",[],[],[],hello this is kuba speaking.,['kuba'],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_005180_005765,"yeah 
",[],[],[],go adam.,['adam'],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_008090_009325,"yeah yeah yeah no problem 
",[],[],[],yeah yeah. no problem.,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_061498_081075,"really cool idea like the experience we never i think we never gave give a base for event or for answering questions we never did but that there is something that i actually i would like to ask you about i had this idea do you know <unk> 
",[],[],[],really cool idea like the experience we never i think we never gave give a base for event or for answering questions. we never did but that there is something that i actually i would like to ask you about i had this idea. do you know masterclass?,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_085089_133723,"<unk> yeah it's it's a project where like the best of breed like the the best people in some particular field are providing a lecture in their particular skill so there is for example i don't know some some famous actors directors i think i can't remember the name there are lectures of directing or things like that but there are also business lectures or business strategy or leadership or negotiation or marketing or telling stories things like this i had this idea that maybe as a giveaway we can we can give free like but yearly subscription of that so 
",[],[],[],masterclass? yeah. it's it's a project where like the best of breed like the the best people in some particular field are providing a lecture in their particular skill. so there is for example i don't know some some famous actors directors i think that was no i can't remember the name there are there are lectures of directing or things like that but there are also business lectures or business strategy or leadership or negotiation or marketing or telling stories. things like this i had this idea that maybe as a giveaway we can we can give free like but yearly subscription of that so.,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_141180_142685,"hello 
",[],[],[],yeah. there is that as well.,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_167260_168305,"yeah 
",[],[],[],i i.,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_169700_180655,"i would rather keep it like lower than that like one hundred one hundred bucks should be not too much i i think you can you can make it for this occasion like some kind of 
",[],[],[],i would rather keep it like lower than that like one hundred one hundred bucks should be not too much i think you can you can make it for this occasion like some kind of .,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_181610_187365,"so when these are there to have something interesting that they can get and just one of them get it 
",[],[],[],we just want petr there to have something interesting that they can get and just one of them get it.,['petr'],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_188520_189425,"something like that 
",[],[],[],something like that.,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_235450_241995,"yeah just drop drop us line short one like one from immediately okay 
",[],[],[],yeah yeah. just drop drop us a line short one like one from immediately. okay?,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_243540_245345,"thanks adam <unk> ciao ciao 
",['adam'],[],[],thanks adam. tchuss. ciao ciao.,['adam'],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_001820_002595,"hello hello 
",[],[],[],hello hello.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_007980_008765,"ciao ciao 
",[],[],[],ciao ciao ciao.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_025320_025865,"bye 
",[],[],[],by.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_027150_029235,"no nine nine 
",[],[],[],no nine nine.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_043130_051935,"so so first of all it is like really super interesting and i am so sorry if i wont be able to be there i would be so sorry about 
",[],[],[],sure sure sure so first of all it is like really super interesting and i am so sorry if i wont be able to be there i would be so sorry about it.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_052580_060685,"so this company you know they started the integration for the project in the country 
",[],[],[],so ehm this company you know they started the integration for the project in the country.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_061550_066465,"i'm already in the beginning of two thousand nineteen 
",[],[],['two thousand nineteen'],or it was in the beginning of two thousand nineteen.,[],[],['beginning of two thousand nineteen']
cs04M-RE369dd60dba400abac1067dd994882cda_B_067470_074055,"and they did the first version of the integration that already worked and was presented to the customer 
",[],[],[],and they did the first version of the integration that already worked and was presented to the customer.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_075460_078915,"yeah that would be showing to michael 
",['michael'],[],[],and that is what they will be showing to michael.,['michael'],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_080140_081115,"and 
",[],[],[],and.,[],[],[]
