CALLID,ASR,ASR_boosted,asr_ner,asr_boosted_ner,asrbaseline_person,asrbaseline_location,asrbaseline_time,transcript,ner_person,ner_location,ner_time
cs01M-RE00bcf8e1f2c6d1c6573f18ade20ec956_A_000770_007439,"hi i'm in butter oh we had to go see it instead of can maybe they'll go back in the bowl golf an hour
","hi i'm in butter oh we have to go see it instead of thinking maybe they'll go to rock the boat golf an hour
",,,[],[],[],hi. i'm in brno. we had coffee. arranged everything and we will go to prague in about half an hour.,[],"['brno', 'prague']",['half an hour']
cs01M-RE00bcf8e1f2c6d1c6573f18ade20ec956_A_015878_020598,"ah i don't know if i make it uh oklahoma but i mean but i can see
","ah i don't know if i make it a oklahoma but i didn't but i can see
",['oklahoma'],['oklahoma'],[],['oklahoma'],[],i do not know if i make it. i'll call when i'm in prague and we will see.,[],['prague'],[]
cs01M-RE0f4543b94c7a5953871ac37cbc47a25f_B_000637_001911,"i
","i
",,,[],[],[],hi.,[],[],[]
cs01M-RE0f4543b94c7a5953871ac37cbc47a25f_B_004551_009294,"sorry hello come out my uncle bill go through and make it
","so they come out with my uncle bill go through and make it
",,,[],[],[],sorry. look i'm out now. jakub will call you and make it.,['jakub'],[],[]
cs01M-RE17b84c6cb32b4392ba3096982d24fbba_B_000403_001602,"so what
","so what
",,,[],[],[],so what?,[],[],[]
cs01M-RE17b84c6cb32b4392ba3096982d24fbba_B_010788_018229,"what about the bus for almost about uh just uh left go off
","what about the bus from moldova ah just a left go off
",,['moldova'],[],[],[],what about the bus from moldova? it just left? go. ask.,[],['moldova'],[]
cs01M-RE18beae7b701cfe83ae82d0b960fc1dd6_B_001226_002156,"hi
","hi
",,,[],[],[],hi.,[],[],[]
cs01M-RE18beae7b701cfe83ae82d0b960fc1dd6_B_005021_006290,"guy
","this guy
",,,[],[],[],i'm on česká.,[],['česká'],[]
cs01M-RE18beae7b701cfe83ae82d0b960fc1dd6_B_011322_013679,"okay i can't be dead in ten minutes
","okay i can't be dead in ten minutes
",[[]],[[]],[],[],['ten minutes'],okay. i can be there in ten minutes.,[],[],['in ten minutes']
cs01M-RE211138ec80bf5cd6f581f5eee65f6895_B_001510_002507,"so what's in there
","so what's in there
",,,[],[],[],so what's in there?,[],[],[]
cs01M-RE211138ec80bf5cd6f581f5eee65f6895_B_005100_005697,,"right
",,,[],[],[],lila.,['lila'],[],[]
cs01M-RE214384540e45c0d0c7015c0aedd8c3ef_B_002233_003290,"i
","i
",,,[],[],[],hi.,[],[],[]
cs01M-RE214384540e45c0d0c7015c0aedd8c3ef_B_010608_014237,"fuck you do you agree with that plane going to me
","fuck you do you agree with the plane going to me
",,,[],[],[],fuck you dude. we agreed. what are you what are you playing on me?,[],[],[]
cs01M-RE214384540e45c0d0c7015c0aedd8c3ef_B_017229_019342,"not that he spent i screwed up
","not that he's but i screwed up
",,,[],[],[],not at this price. you screwed up.,[],[],[]
cs01M-RE214384540e45c0d0c7015c0aedd8c3ef_B_022433_026588,"they they take it but i haven't tried first first
","but i would take it but i haven't tried for first
",,,[],[],[],wait wait. i'll take it. but i want to try it at first.,[],[],[]
cs01M-RE214384540e45c0d0c7015c0aedd8c3ef_B_031427_033062,"okay
","okay
",,,[],[],[],okay .,[],[],[]
cs01M-RE39bb514341e2cb86d79c07a177bbc0bf_B_000192_001250,"yeah
","yeah
",,,[],[],[],yes?,[],[],[]
cs01M-RE39bb514341e2cb86d79c07a177bbc0bf_B_003130_008447,"buddhist so some boots i hope the papers it would be dead
","buddhist so some boots or the papers it would be dead
",,,[],[],[],no. i'm to the strážní to sell some goods. i hope the papers will be there.,[],['strážní'],[]
